Title,Author,Average rating,Number of ratings,Number of reviews,Genres,Publish year,Number of pages,Currently reading,Want to read
"The Law of Attraction (Lawyers in Love, #1)",N.M. Silber,3.76,11553,928.0,"Romance, Contemporary Romance, Contemporary, Humor, Chick Lit, Adult, New Adult",2013.0,242.0,604.0,
"Isle of Winds (The Changeling, #1)",James Fahy,4.27,1689,222.0,"Fantasy, Middle Grade, Young Adult, Fiction, Magic, Fae, Childrens",2015.0,265.0,485.0,
Breaking Glass,Lisa Amowitz,3.83,504,105.0,"Young Adult, Mystery, Paranormal, Thriller, Fiction, Supernatural, Horror",2013.0,268.0,24.0,
"Drowned Tomb (The Changeling, #2)",James Fahy,4.46,800,121.0,"Fantasy, Young Adult, Magic, Fiction",2016.0,,100.0,
"Chains of Gaia (The Changeling, #3)",James Fahy,4.59,695,115.0,"Fantasy, Young Adult, Fiction, Magic",2017.0,,73.0,
"Hell's Teeth (Phoebe Harkness, #1)",James Fahy,4.16,800,184.0,"Fantasy, Urban Fantasy, Horror, Vampires, Paranormal, Dystopia, Mystery",2016.0,382.0,61.0,
"Crescent Moon (Phoebe Harkness, #2)",James Fahy,4.58,464,122.0,"Urban Fantasy, Fantasy, Horror, Vampires, Paranormal, Adult Fiction, Dystopia",2016.0,386.0,16.0,
"Consequences (Consequences, #1)",Aleatha Romig,3.92,43205,5938.0,"Dark, Romance, Dark Romance, Contemporary, Abuse, Thriller, Suspense",2011.0,366.0,3502.0,
"Shadows (Lux, #0.5)",Jennifer L. Armentrout,4.08,44241,3477.0,"Young Adult, Paranormal, Fantasy, Romance, Aliens, Science Fiction, Paranormal Romance",2012.0,179.0,843.0,
"No Turning Back (Kathleen Turner, #1)",Tiffany Snow,4.16,12053,991.0,"Romance, Romantic Suspense, Mystery, Suspense, Contemporary, Contemporary Romance, Adult",2011.0,12.0,689.0,
"Tempting the Best Man (Gamble Brothers, #1)",J. Lynn,3.66,37177,2418.0,"Romance, Contemporary, Contemporary Romance, Adult, New Adult, Friends To Lovers, Chick Lit",2012.0,172.0,450.0,
"Hearts in Darkness (Hearts in Darkness, #1)",Laura Kaye,3.85,37841,3203.0,"Romance, Contemporary Romance, Contemporary, Erotica, Novella, Adult, Erotic Romance",2011.0,112.0,722.0,
"Significance (Significance, #1)",Shelly Crane,4.09,45570,2972.0,"Paranormal, Young Adult, Romance, Fantasy, Paranormal Romance, Supernatural, Magic",2011.0,396.0,1622.0,
The Sweet Gum Tree,Katherine Allred,4.25,31202,3511.0,"Romance, Contemporary, Contemporary Romance, Second Chance, Friends To Lovers, New Adult, Chick Lit",2005.0,301.0,429.0,
"Rules of Protection (Tangled in Texas, #1)",Alison Bliss,3.84,7529,859.0,"Romance, Contemporary Romance, Humor, Contemporary, Romantic Suspense, Suspense, New Adult",2014.0,392.0,244.0,
"Sempre (Sempre, #1)",J.M. Darhower,4.13,28454,2906.0,"Romance, Young Adult, New Adult, Contemporary, Contemporary Romance, Dark, Mafia Romance",2014.0,518.0,689.0,
"Inescapable (The Premonition, #1)",Amy A. Bartol,4.04,38566,2399.0,"Paranormal, Angels, Fantasy, Young Adult, Romance, Paranormal Romance, New Adult",2013.0,368.0,2115.0,
"For Whom The Bell Tolls (The Dracula Chronicles, #1) (Vlad Dracula, #1)",Shane K.P. O'Neill,4.26,294,37.0,"Horror, Gothic, Romance, New Adult, Dark Fantasy, Fantasy, Historical",2013.0,324.0,12.0,
"Complicate Me (The Good Ol' Boys, #1)",M. Robinson,4.01,10916,1272.0,"Romance, Friends To Lovers, New Adult, Contemporary Romance, Contemporary, Second Chance, Second Chance Romance",2015.0,354.0,1309.0,
"Avoiding Commitment (Avoiding, #1)",K.A. Linde,3.83,32240,2567.0,"Romance, New Adult, Contemporary, Contemporary Romance, Adult, Erotica, College",2012.0,370.0,1301.0,
